timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
96134268,0.256932,0.49686065,0.3270283
96143068,0.24992885,0.5040234,0.323972
96154267,0.23951621,0.51063716,0.33447245
96163068,0.2552605,0.50516224,0.3392386
96174267,0.24995212,0.5144244,0.32778314
96183068,0.26916695,0.5055739,0.32900167
96194267,0.23769565,0.5023356,0.32228348
96203113,0.26404378,0.5100883,0.34785864
96212732,0.26404378,0.5100883,0.34785864
96223068,0.26404378,0.5100883,0.34785864
96231875,0.25526136,0.508675,0.33938104
96243108,0.25346228,0.50374895,0.3307184
96251875,0.24645911,0.51091164,0.32766202
96263112,0.256895,0.5146988,0.32097274
96271875,0.24647805,0.50374895,0.33076105
96283074,0.24472208,0.5055739,0.329151
96291876,0.25350103,0.49293628,0.33705884
96311845,0.25350103,0.49293628,0.33705884
96320673,0.25697854,0.51766264,0.33465067
96331067,0.25521916,0.50543666,0.3324709
96340709,0.2551787,0.5092239,0.32584557
96351067,0.2552002,0.5125994,0.32937187
96360746,0.2481918,0.4986857,0.32546094
96371068,0.2412291,0.5020612,0.3290299
96380679,0.2533805,0.5078106,0.31732532
96391068,0.2533805,0.5078106,0.31732532
96400676,0.2533805,0.5078106,0.31732532
96411104,0.24470228,0.5092239,0.32590955
96419843,0.24294633,0.51104885,0.3242995
96430281,0.253439,0.4933479,0.32690722
96439844,0.24651764,0.49644902,0.33724394
96449475,0.24643672,0.5040234,0.3239933
96459850,0.24651764,0.49644902,0.33724394
96469475,0.24116535,0.4954473,0.3185934
96479844,0.24116535,0.4954473,0.3185934
96490268,0.24116535,0.4954473,0.3185934
96499843,0.24294372,0.5005107,0.3238722
96508710,0.24647892,0.50726175,0.3309035
96519844,0.2587543,0.5121877,0.33950216
96528712,0.2499693,0.5002363,0.33059728
96539843,0.24300225,0.48604804,0.33345407
96548713,0.25864923,0.50584835,0.32229793
96559843,0.24124977,0.5019239,0.3324138
96568668,0.24124977,0.5019239,0.3324138
96578288,0.24124977,0.5019239,0.3324138
96587843,0.25513646,0.50598556,0.3189354
96597475,0.25344422,0.5144244,0.3277618
96607843,0.24292392,0.5041606,0.32063076
96617506,0.23593879,0.5006479,0.320531
96627850,0.24471773,0.4880102,0.32843882
96637477,0.23948947,0.48618525,0.33009157
96647868,0.24296613,0.50739896,0.32754093
96657509,0.25170374,0.49503568,0.32868102
96676667,0.24126956,0.49827406,0.3356552
96686279,0.23416044,0.49558455,0.31525218
96696708,0.24294199,0.49348512,0.32358733
96706281,0.23070791,0.48828462,0.3217564
96716673,0.25516063,0.5198993,0.32288897
96726267,0.24457565,0.49950898,0.305179
96736675,0.2551752,0.4951729,0.32527584
96746268,0.24649784,0.500099,0.3340025
96756674,0.24649784,0.500099,0.3340025
96766275,0.24649784,0.500099,0.3340025
96776673,0.24290411,0.5078106,0.3173893
96785528,0.25511146,0.48855907,0.31483933
96796674,0.25521567,0.4913858,0.33190116
96805525,0.23933107,0.51538485,0.30416
96816674,0.24287997,0.49389678,0.3134357
96825492,0.25689328,0.5076734,0.3206879
96836674,0.23596208,0.51104885,0.32434216
96845510,0.24288084,0.49740952,0.31357816
96855068,0.24288084,0.49740952,0.31357816
96864710,0.24463855,0.50261,0.31547305
96874302,0.24112749,0.5097727,0.3123954
96885467,0.24116622,0.4989601,0.31873584
96894282,0.23771632,0.5021984,0.32566735
96905467,0.2516822,0.4916602,0.32515475
96914296,0.24465922,0.5024728,0.31885695
96925475,0.24988401,0.4902469,0.31663448
96934275,0.2533968,0.49010965,0.31999704
96953517,0.23763016,0.48869628,0.31156212
96963068,0.23936892,0.50105953,0.31035802
96973479,0.22895108,0.48659688,0.32000393
96983067,0.24294025,0.48645967,0.32330248
96993488,0.24116622,0.4989601,0.31873584
97003068,0.24296439,0.5003735,0.32725605
97013493,0.24994951,0.50388616,0.32735583
97023068,0.24294111,0.48997244,0.3234449
97034301,0.23420438,0.50584835,0.32244724
97043068,0.23420438,0.50584835,0.32244724
97053472,0.2569285,0.4828097,0.32645857
97062275,0.2516219,0.49909735,0.31528795
97072669,0.24459286,0.48532078,0.30799317
97082275,0.24643497,0.49699786,0.32370844
97092669,0.24816853,0.48828462,0.32164973
97102281,0.24287735,0.48335856,0.31300843
97111844,0.23771544,0.4986857,0.32552493
97122276,0.23771544,0.4986857,0.32552493
97132669,0.23771544,0.4986857,0.32552493
97142282,0.25513297,0.49193463,0.31836566
97151068,0.24467988,0.5023356,0.3222408
97162297,0.24118689,0.4988229,0.3221197
97171068,0.2447186,0.491523,0.32858127
97182297,0.23943266,0.5076734,0.32079452
