timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
49406096,0.121315,-0.00939662,-0.00297573,0.823669,-0.0707778,-0.0328086,-0.561679,0.931081,0.00216238,0.0119804,-0.364609,1
49437942,0.157836,0.0381548,-0.00363822,0.823569,-0.0685461,-0.0337175,-0.562048,0.931081,0.00216238,0.0119804,-0.364609,1
49469939,0.213486,0.103817,0.0019677,0.823688,-0.0646182,-0.0345511,-0.562289,0.931081,0.00216238,0.0119804,-0.364609,1
49501859,0.149625,0.0610232,0.0078612,0.823777,-0.0611922,-0.0349548,-0.562516,0.931081,0.00216238,0.0119804,-0.364609,1
49534765,0.093915,0.0127264,0.00598482,0.823801,-0.058923,-0.0355538,-0.562686,0.931081,0.00216238,0.0119804,-0.364609,1
49566731,0.044046,0.0153263,0.0201025,0.823811,-0.0575099,-0.036,-0.56279,0.931081,0.00216238,0.0119804,-0.364609,1
49598694,-0.060872,-0.0161422,0.0221145,0.823835,-0.0570835,-0.0357486,-0.562813,0.931081,0.00216238,0.0119804,-0.364609,1
49626693,-0.0736722,-0.048386,0.0235216,0.823813,-0.0578586,-0.0355674,-0.562778,0.931081,0.00216238,0.0119804,-0.364609,1
49658831,-0.0125103,0.0409113,-0.00521172,0.823662,-0.0577752,-0.0354018,-0.563019,0.931081,0.00216238,0.0119804,-0.364609,1
49690762,-0.12573,0.0913514,-0.0112438,0.82339,-0.0575869,-0.0335201,-0.56355,0.931081,0.00216238,0.0119804,-0.364609,1
49722839,-0.0957817,0.0122991,0.00505421,0.823113,-0.0585792,-0.0318121,-0.563951,0.931081,0.00216238,0.0119804,-0.364609,1
49755705,0.0156627,0.122504,-0.000553186,0.823041,-0.0574961,-0.0306934,-0.56423,0.931081,0.00216238,0.0119804,-0.364609,1
49787534,-0.0760596,0.0922283,-0.00963944,0.822863,-0.0561681,-0.0288714,-0.56472,0.931081,0.00216238,0.0119804,-0.364609,1
49815671,-0.118095,0.0484474,-0.0167274,0.822589,-0.0563231,-0.0273059,-0.565181,0.931081,0.00216238,0.0119804,-0.364609,1
49847495,-0.102426,0.0345212,-0.0307214,0.822118,-0.0569473,-0.0257598,-0.565876,0.931081,0.00216238,0.0119804,-0.364609,1
49879517,-0.0873806,0.0316103,-0.00452178,0.821715,-0.0572843,-0.0244774,-0.566484,0.931081,0.00216238,0.0119804,-0.364609,1
49911486,0.0312845,0.0159329,0.0374143,0.821742,-0.0569945,-0.0239252,-0.566497,0.931081,0.00216238,0.0119804,-0.364609,1
49944400,0.0521821,-0.0109836,0.0193716,0.821926,-0.0556018,-0.0243527,-0.56635,0.931081,0.00216238,0.0119804,-0.364609,1
